scenario_name,match_index,seed,board_size,scoring_mode,agent_a_color,agent_b_color,winner_label,turns,total_passes,termination_reason,total_time_seconds,average_move_time_seconds,agent_a_move_count,agent_b_move_count,agent_a_total_move_time_seconds,agent_b_total_move_time_seconds,agent_a_average_move_time_seconds,agent_b_average_move_time_seconds,agent_a_score,agent_b_score,agent_a_discs,agent_b_discs,score_margin_for_a,normalized_score_margin_for_a,agent_a_nodes_expanded_total,agent_b_nodes_expanded_total,agent_a_alpha_beta_prunes_total,agent_b_alpha_beta_prunes_total,agent_a_mcts_simulations_total,agent_b_mcts_simulations_total,agent_a_mcts_nodes_created_total,agent_b_mcts_nodes_created_total,agent_a_kind,agent_a_label,agent_a_minimax_depth,agent_a_minimax_evaluation,agent_a_minimax_use_move_ordering,agent_a_mcts_num_simulations,agent_a_mcts_exploration_constant,agent_a_mcts_rollout_policy,agent_a_mcts_rollout_heuristic_name,agent_a_mcts_rollout_topk,agent_a_mcts_time_limit_seconds,agent_b_kind,agent_b_label,agent_b_minimax_depth,agent_b_minimax_evaluation,agent_b_minimax_use_move_ordering,agent_b_mcts_num_simulations,agent_b_mcts_exploration_constant,agent_b_mcts_rollout_policy,agent_b_mcts_rollout_heuristic_name,agent_b_mcts_rollout_topk,agent_b_mcts_time_limit_seconds
minimax_balanced_vs_mcts_random,0,42,4,standard,BLACK,WHITE,B,12,0,board_full,0.7999864000012167,0.06658795833209297,6,6,0.028592899994691834,0.7704625999904238,0.004765483332448639,0.1284104333317373,6,10,6,10,-4,-0.25,181,0,44,0,0,3000,0,1370,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,
minimax_balanced_vs_mcts_rollout_simple,0,10042,4,standard,BLACK,WHITE,B,12,0,board_full,1.2082050999742933,0.10061105832573958,6,6,0.02691029995912686,1.180422399949748,0.00448504999318781,0.19673706665829135,5,11,5,11,-6,-0.375,158,0,38,0,0,3000,0,1403,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_simple|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_simple,lightweight,3,
minimax_balanced_vs_mcts_rollout_successor_eval,0,20042,4,standard,BLACK,WHITE,B,12,0,board_full,1.293735099985497,0.10773690833351186,6,6,0.026018100004876032,1.2668247999972664,0.004336350000812672,0.21113746666621105,5,11,5,11,-6,-0.375,158,0,38,0,0,3000,0,1343,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_successor_eval|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_successor_eval,lightweight,3,
minimax_balanced_vs_mcts_rollout_topk,0,30042,4,standard,BLACK,WHITE,B,12,0,board_full,1.3587921000143979,0.11316122499799046,6,6,0.026309300010325387,1.33162539996556,0.004384883335054231,0.22193756666092668,5,11,5,11,-6,-0.375,158,0,38,0,0,3000,0,1365,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_topk|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_topk,lightweight,3,
minimax_d3_vs_d4_balanced,0,40042,4,standard,BLACK,WHITE,B,12,1,no_moves_both,0.031975300022168085,0.0025877499938360415,6,6,0.013647099956870079,0.01740589996916242,0.0022745166594783464,0.0029009833281937367,2,13,2,13,-11,-0.7333333333333333,87,121,18,36,0,0,0,0,minimax,Minimax[d=3|eval=balanced],3,balanced,True,,1.41421356237,random,lightweight,3,,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,
minimax_d4_vs_d5_balanced,0,50042,4,standard,BLACK,WHITE,B,10,0,no_moves_both,0.06311590000404976,0.0062331700057256965,5,5,0.02750320004997775,0.03482850000727922,0.00550064000999555,0.006965700001455843,3,11,3,11,-8,-0.5714285714285714,154,263,39,60,0,0,0,0,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,minimax,Minimax[d=5|eval=balanced],5,balanced,True,,1.41421356237,random,lightweight,3,
minimax_d3_vs_d5_balanced,0,60042,4,standard,BLACK,WHITE,B,12,1,no_moves_both,0.049905499996384606,0.004073541664790052,6,6,0.013459599984344095,0.035422899993136525,0.0022432666640573493,0.005903816665522754,2,13,2,13,-11,-0.7333333333333333,87,261,18,55,0,0,0,0,minimax,Minimax[d=3|eval=balanced],3,balanced,True,,1.41421356237,random,lightweight,3,,minimax,Minimax[d=5|eval=balanced],5,balanced,True,,1.41421356237,random,lightweight,3,
mcts_random_100_vs_500,0,70042,4,standard,BLACK,WHITE,B,12,0,board_full,1.0052234000177123,0.0836869583290536,6,6,0.23464170002262108,0.7696017999260221,0.03910695000377018,0.128266966654337,5,11,5,11,-6,-0.375,0,0,0,0,600,3000,371,1396,mcts,MCTS[sim=100|rollout=random|heur=lightweight|c=1.414],,,True,100,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,
mcts_random_500_vs_1000,0,80042,4,standard,BLACK,WHITE,B,13,1,board_full,2.4381409999914467,0.1874676230811299,7,6,1.0010383000480942,1.4360408000065945,0.14300547143544204,0.2393401333344324,7,9,7,9,-2,-0.125,0,0,0,0,3500,6000,1562,2355,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=1000|rollout=random|heur=lightweight|c=1.414],,,True,1000,1.41421356237,random,lightweight,3,
mcts_random_100_vs_1000,0,90042,4,standard,BLACK,WHITE,B,12,0,board_full,1.6213248000130989,0.1350358666604734,6,6,0.23626329997205175,1.384167099953629,0.03937721666200863,0.23069451665893817,5,11,5,11,-6,-0.375,0,0,0,0,600,6000,418,2241,mcts,MCTS[sim=100|rollout=random|heur=lightweight|c=1.414],,,True,100,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=1000|rollout=random|heur=lightweight|c=1.414],,,True,1000,1.41421356237,random,lightweight,3,
minimax_balanced_vs_aggressive,0,100042,4,standard,BLACK,WHITE,B,10,0,no_moves_both,0.04635459999553859,0.004550759997800924,5,5,0.02632639999501407,0.019181199982995167,0.005265279999002814,0.0038362399965990333,3,11,3,11,-8,-0.5714285714285714,154,127,39,43,0,0,0,0,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,minimax,Minimax[d=4|eval=aggressive],4,aggressive,True,,1.41421356237,random,lightweight,3,
mcts_random_vs_rollout_simple,0,110042,4,standard,BLACK,WHITE,B,12,1,no_moves_both,2.226280400005635,0.1854443333383339,6,6,1.0485344000335317,1.1767976000264753,0.17475573333892194,0.19613293333774587,3,12,3,12,-9,-0.6,0,0,0,0,3000,3000,1661,1316,mcts,MCTS[sim=500|rollout=random|heur=lightweight|c=1.414],,,True,500,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_simple|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_simple,lightweight,3,
mcts_rollout_simple_vs_rollout_successor_eval,0,120042,4,standard,BLACK,WHITE,B,12,1,no_moves_both,2.9701093999901786,0.24743336666627633,6,6,1.6561301000183448,1.313070299976971,0.2760216833363908,0.21884504999616183,3,12,3,12,-9,-0.6,0,0,0,0,3000,3000,1653,1297,mcts,MCTS[sim=500|rollout=rollout_simple|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_simple,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_successor_eval|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_successor_eval,lightweight,3,
mcts_rollout_successor_eval_vs_rollout_topk,0,130042,4,standard,BLACK,WHITE,B,13,1,board_full,3.1161240999936126,0.23962972307568775,7,6,1.777264300006209,1.3379220999777317,0.253894900000887,0.22298701666295528,7,9,7,9,-2,-0.125,0,0,0,0,3500,3000,1529,1371,mcts,MCTS[sim=500|rollout=rollout_successor_eval|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_successor_eval,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_topk|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_topk,lightweight,3,
mcts_successor_eval_balanced_vs_aggressive,0,140042,4,standard,BLACK,WHITE,B,13,1,board_full,3.040104200015776,0.23377220000167234,7,6,1.7638459000154398,1.2751927000063006,0.2519779857164914,0.21253211666771676,7,9,7,9,-2,-0.125,0,0,0,0,3500,3000,1523,1346,mcts,MCTS[sim=500|rollout=rollout_successor_eval|heur=balanced|c=1.414],,,True,500,1.41421356237,rollout_successor_eval,balanced,3,,mcts,MCTS[sim=500|rollout=rollout_successor_eval|heur=aggressive|c=1.414],,,True,500,1.41421356237,rollout_successor_eval,aggressive,3,
board_size_sweep_4_minimax_balanced_vs_mcts_rollout_simple,0,150042,4,standard,BLACK,WHITE,B,12,0,board_full,1.2097527000005357,0.10072885833506007,6,6,0.03636860000551678,1.172377700015204,0.006061433334252797,0.19539628333586734,5,11,5,11,-6,-0.375,158,0,38,0,0,3000,0,1404,minimax,Minimax[d=4|eval=balanced],4,balanced,True,,1.41421356237,random,lightweight,3,,mcts,MCTS[sim=500|rollout=rollout_simple|heur=lightweight|c=1.414],,,True,500,1.41421356237,rollout_simple,lightweight,3,
